name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"Timemore Cambodia","CVQV+FC4, Phnom Penh, Cambodia","+855 10 700 423","hello@timemore.com",11.4386446,104.8935764,"http://timemore.com/","Cambodia","Kandal Province","",5,1,"","Coffee shops","Coffee shops","https://www.facebook.com/TimemoreCoffeeSingapore","https://www.instagram.com/timemoreproducts/","","//twitter.com/share?text=TIMEMORE%20Electric%20Coffee%20Grinder%20Sculptor%20series(Presale)&url=https://www.timemore.com/products/timemore-electric-coffee-grinder-sculptor-series","","https://www.youtube.com/channel/UCFSSoZ_gFOsZEZVuFkqb0xw","https://www.tiktok.com/@timemore_official?is_from_webapp=1&sender_device=pc"
"Starbucks","Slide 158, National Road 6 Menor, Oknha Oum-Chhay St, 17252, Cambodia","+855 63 900 370","press@starbucks.com",13.3624716,103.8575589,"https://www.starbucks.com/","Cambodia","Siem Reap Province","Siem Reap",4.3,536,"17252","Coffee shops","Coffee shops","https://facebook.com/starbucks","https://instagram.com/starbucks","","https://twitter.com/starbucks/","","https://www.youtube.com/starbucks",""
"Aborest Coffee & Bar","#004 Sivutha Blvd, Krong Siem Reap, Cambodia","+855 92 631 199","info@aboresthostel.com",13.3533512,103.8533311,"http://www.aboresthostel.com/","Cambodia","Siem Reap Province","Siem Reap",0,0,"","Coffee shops","Coffee shops","https://www.facebook.com/Aboresthostel","https://www.instagram.com/aborest_hostel/","","","","",""
"MIXT COFFEE (Olympic)","St 163, Phnom Penh, Cambodia","+855 87 752 289","mixtcoffee@gmail.com",11.5520731,104.9138558,"http://www.mixtcoffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.5,49,"","Coffee shops","Coffee shops","https://www.facebook.com/mixtcoffee/","https://www.instagram.com/mixtcoffee/","","","","","https://www.tiktok.com/@mixtcoffee"
"Date Note - Stories","32Eo street 478, Phnom Penh, Cambodia","+855 15 335 383","datenote2021@gmail.com",11.5349494,104.9138999,"https://datenote2021.wixsite.com/datenotestories/home-1","Cambodia","Phnom Penh","Phnom Penh",4.6,30,"","Coffee shops","Restaurants,Coffee shops,Tea stores","https://www.facebook.com/datenote2021","https://www.instagram.com/datenote_stories/","","","","","https://www.tiktok.com/@datenotestories"
"Spring House","1093 NR2, Phnom Penh, Cambodia","+855 99 262 606","springhouse168@gmail.com",11.5277671,104.9317245,"https://linktr.ee/Spring_House","Cambodia","Phnom Penh","Phnom Penh",4.5,2,"","Coffee shops","Coffee shops,Cake shops","https://www.facebook.com/springhouse.cake/","https://www.instagram.com/springhouse.kh","","","","","http://www.tiktok.com/@springhouse.kh"
"Tatie's Phnom Penh","281Eo Preah Ang Duong St. (110), Phnom Penh 120211, Cambodia","+855 96 811 2028","taties.phnompenh@gmail.com",11.5719961,104.9194381,"https://www.taties-phnompenh.com/","Cambodia","Phnom Penh","Phnom Penh",4.5,28,"120211","Coffee shops","Restaurants,Coffee shops,Bakery and Cake Shops,Patisseries,Bakeries,Cheese shops","https://www.facebook.com/taties.pp","https://www.instagram.com/taties.pp/","","","","","https://www.tiktok.com/@tatiesphnompenh"
"Peter’s Cafe & Restaurant","WR8F+5V5, Cambodia","+855 88 883 7005","koysopheaasean@gmail.com",10.9153963,104.8247471,"http://aseanschool.info/","Cambodia","Takéo Province","Takeo",5,1,"","Coffee shops","Coffee shops","https://www.facebook.com/sophea.koy.7","https://www.instagram.com/explore/tags/wordcamp/","","","","https://www.youtube.com/watch?v=QtTMawoZXks",""
"The Alchemist Coffee","379 Preah Sisowath Quay, Phnom Penh 12200, Cambodia","+855 88 893 6663","info@hotelkvl.com",11.5665464,104.9316406,"https://www.hotelkvl.com/dining/the-alchemist","Cambodia","Phnom Penh","Phnom Penh",3.9,28,"12200","Coffee shops","Coffee shops","https://web.facebook.com/hotelkvl","https://www.instagram.com/hotelkvl/","","","","",""
"PLENG CHAN Coffee and Eatery (TTP) - ភ្លេងច័ន្ទ (សាខាទួលទំពូង)","Lot 360, Street 135, Corner 460, Phnom Penh 12310, Cambodia","+855 93 972 525","info@plengchancoffee.com",11.5384278,104.9169246,"https://www.plengchancoffee.com/","Cambodia","Phnom Penh","Phnom Penh",4.4,101,"12310","Coffee shops","Bakeries,Restaurants,Coffee shops,Bakery and Cake Shops","https://www.facebook.com/plengchankh","","","","","https://www.youtube.com/@plengchancoffee",""
